iteration,average
0,26.37111111111111
1,27.151000000000003
2,27.298
3,27.552444444444447
4,27.651666666666667
5,27.665333333333333
6,27.85022222222222
7,27.925777777777782
8,28.067888888888888
9,28.149
10,28.501999999999995
11,28.674666666666667
12,28.90933333333333
13,29.12177777777778
14,29.52488888888889
15,29.88666666666667
16,30.262
17,30.619111111111117
18,30.925111111111114
19,31.22477777777778
20,31.387111111111114
21,31.539111111111108
22,31.778888888888886
23,31.98788888888889
24,32.11855555555556
25,32.12188888888889
26,32.10944444444445
27,32.12788888888888
28,32.10011111111111
29,32.150666666666666
30,32.23722222222222
31,32.32188888888889
32,32.412333333333336
33,32.390888888888895
34,32.32244444444444
35,32.49422222222223
36,32.571333333333335
37,32.50977777777777
38,32.335111111111104
39,32.28766666666667
40,32.16222222222222
41,31.997666666666664
42,31.724000000000004
43,31.718555555555554
44,31.695111111111107
45,31.620444444444445
46,31.552888888888887
47,31.58577777777778
48,31.665111111111102
49,31.64066666666666
50,31.535555555555554
51,31.447444444444443
52,31.479111111111113
53,31.296
54,31.116333333333337
55,31.099222222222224
56,30.985888888888887
57,31.031555555555556
58,31.24522222222222
59,31.369999999999997
60,31.637
61,31.84177777777778
62,32.05755555555555
63,32.19566666666666
64,32.32933333333333
65,32.35788888888889
66,32.54344444444445
67,32.60677777777778
68,32.58888888888888
69,32.63855555555556
70,32.723555555555556
71,32.93611111111111
72,33.091
73,33.229777777777784
74,33.39122222222222
75,33.38911111111111
76,33.21633333333333
77,33.24633333333333
78,33.18188888888889
79,33.14577777777778
80,33.06422222222223
81,33.016555555555556
82,32.873000000000005
83,32.9361111111111
84,32.88377777777778
85,33.02366666666667
86,33.21211111111111
87,33.27222222222222
88,33.33111111111111
89,33.31977777777778
90,33.287333333333336
91,33.25933333333333
92,33.3
93,33.24011111111111
94,33.23477777777778
95,33.18944444444445
96,33.21688888888889
97,33.19522222222223
98,33.22611111111111
99,33.244666666666674
