iteration,average
0,21.83988888888889
1,22.564444444444444
2,22.885333333333335
3,23.588222222222225
4,23.954777777777778
5,24.069333333333333
6,24.472111111111115
7,24.87777777777778
8,25.22855555555556
9,25.516333333333336
10,26.059333333333335
11,26.454555555555558
12,26.90188888888889
13,27.214555555555553
14,27.48311111111111
15,27.837666666666667
16,27.89122222222222
17,27.90922222222222
18,27.972000000000005
19,27.99522222222222
20,28.146555555555555
21,28.31322222222222
22,28.316
23,28.147222222222226
24,28.156888888888886
25,28.17988888888889
26,28.30666666666667
27,28.391777777777776
28,28.520222222222223
29,28.52477777777778
30,28.615111111111112
31,28.785222222222224
32,29.02488888888889
33,29.288333333333338
34,29.55933333333334
35,29.77588888888889
36,29.863
37,30.07988888888889
38,30.105111111111107
39,30.35911111111111
40,30.434111111111108
41,30.44733333333333
42,30.501
43,30.605999999999995
44,30.58633333333334
45,30.615222222222226
46,30.729000000000003
47,30.73277777777778
48,30.746444444444446
49,30.60688888888889
50,30.564222222222227
51,30.548444444444442
52,30.517333333333333
53,30.508555555555557
54,30.56511111111111
55,30.549000000000003
56,30.49488888888889
57,30.42055555555556
58,30.44644444444445
59,30.567222222222217
60,30.626999999999995
61,30.727111111111114
62,30.80277777777778
63,30.878777777777778
64,30.90555555555556
65,31.018444444444444
66,31.054333333333332
67,31.144000000000005
68,31.17233333333333
69,31.227777777777778
70,31.363666666666663
71,31.369000000000003
72,31.42811111111111
73,31.439777777777774
74,31.383333333333333
75,30.136625
76,30.241875000000004
77,30.344500000000004
78,30.437875000000002
79,30.506625
80,30.493750000000006
81,31.662999999999997
82,30.476750000000003
83,30.466375
84,31.746333333333332
85,31.80177777777778
86,31.865111111111105
87,31.88411111111111
88,31.853555555555552
89,31.800555555555555
90,31.781555555555556
91,31.792777777777776
92,31.744333333333334
93,31.719222222222225
94,31.70488888888889
95,31.74311111111111
96,31.750222222222224
97,31.661
98,31.552444444444443
99,31.429777777777776
