iteration,average
2,1.29
5,0.406
7,0.051
8,0.378
9,0.013
10,1.15
11,2.189
12,1.185
13,2.3049999999999997
14,2.746
15,4.4932
16,4.730714285714285
17,6.7457142857142856
18,7.924874999999999
19,9.932250000000002
20,11.621124999999997
21,11.707666666666666
22,13.438666666666668
23,14.912333333333331
24,16.002888888888886
25,17.22111111111111
26,18.234
27,19.240666666666666
28,19.936444444444444
29,20.67788888888889
30,21.30366666666667
31,21.85522222222222
32,22.351888888888887
33,22.96111111111111
34,23.714000000000002
35,24.248555555555555
36,24.889444444444443
37,25.40688888888889
38,25.86911111111111
39,26.400555555555556
40,26.82911111111111
41,27.135666666666665
42,27.620999999999995
43,28.075333333333333
44,28.407555555555554
45,28.737777777777776
46,29.027
47,29.244000000000003
48,29.48033333333333
49,29.539666666666662
50,29.731444444444442
51,29.950555555555557
52,29.968222222222224
53,29.853333333333335
54,29.86
55,29.796555555555553
56,29.802777777777774
57,29.770888888888887
58,29.697555555555557
59,29.78277777777778
60,29.868333333333332
61,29.86344444444444
62,29.872222222222224
63,29.948666666666668
64,29.981555555555563
65,30.13733333333333
66,30.149
67,30.161222222222225
68,30.198111111111114
69,30.269444444444446
70,30.352333333333334
71,30.408666666666665
72,30.427333333333333
73,30.495777777777775
74,30.59288888888889
75,30.581000000000003
76,30.605
77,30.61077777777778
78,30.653333333333332
79,30.67766666666667
80,30.700444444444443
81,30.795444444444442
82,30.936444444444444
83,30.94022222222222
84,30.933777777777777
85,30.93877777777778
86,30.935333333333332
87,30.91911111111111
88,30.965666666666664
89,30.98855555555556
90,30.95588888888889
91,30.815777777777775
92,30.712666666666664
93,30.69344444444444
94,30.650999999999996
95,30.689333333333327
96,30.640777777777778
97,30.67855555555556
98,30.53933333333333
99,30.49344444444445
100,30.490111111111112
101,30.514666666666667
102,30.580666666666666
103,30.64622222222222
