Data Path: ../data-firm/decompress_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
target path is:  ../data-firm/decompress_output.csv
TCA done finally
Iteration: 74 (200 steps) - Average rewards across episodes: 35.982 | Moving average: 34.021
Iteration: 75 (200 steps) - Average rewards across episodes: 37.63 | Moving average: 34.589
Iteration: 76 (200 steps) - Average rewards across episodes: 36.657 | Moving average: 34.697
Iteration: 77 (200 steps) - Average rewards across episodes: 37.652 | Moving average: 35.339
Iteration: 78 (200 steps) - Average rewards across episodes: 37.18 | Moving average: 35.559
Iteration: 79 (200 steps) - Average rewards across episodes: 37.39 | Moving average: 36.095
Iteration: 80 (200 steps) - Average rewards across episodes: 38.022 | Moving average: 36.391
Iteration: 81 (200 steps) - Average rewards across episodes: 34.995 | Moving average: 36.425
Iteration: 82 (200 steps) - Average rewards across episodes: 36.803 | Moving average: 36.791
Iteration: 83 (200 steps) - Average rewards across episodes: 35.685 | Moving average: 36.8
Iteration: 84 (200 steps) - Average rewards across episodes: 37.158 | Moving average: 36.917
Iteration: 85 (200 steps) - Average rewards across episodes: 38.131 | Moving average: 36.967
Iteration: 86 (200 steps) - Average rewards across episodes: 39.569 | Moving average: 37.259
Iteration: 87 (200 steps) - Average rewards across episodes: 38.588 | Moving average: 37.352
Iteration: 88 (200 steps) - Average rewards across episodes: 38.393 | Moving average: 37.473
Iteration: 89 (200 steps) - Average rewards across episodes: 39.017 | Moving average: 37.636
Iteration: 90 (200 steps) - Average rewards across episodes: 37.579 | Moving average: 37.592
Iteration: 91 (200 steps) - Average rewards across episodes: 38.4 | Moving average: 37.932
Iteration: 92 (200 steps) - Average rewards across episodes: 38.69 | Moving average: 38.121
Iteration: 93 (200 steps) - Average rewards across episodes: 38.16 | Moving average: 38.368
Iteration: 94 (200 steps) - Average rewards across episodes: 39.525 | Moving average: 38.605
Iteration: 95 (200 steps) - Average rewards across episodes: 38.574 | Moving average: 38.649
Iteration: 96 (200 steps) - Average rewards across episodes: 37.18 | Moving average: 38.411
Iteration: 97 (200 steps) - Average rewards across episodes: 37.405 | Moving average: 38.292
Iteration: 98 (200 steps) - Average rewards across episodes: 38.341 | Moving average: 38.287
Iteration: 99 (200 steps) - Average rewards across episodes: 34.151 | Moving average: 37.801
ving average: 33.643
