Data Path: ../data-firm/readfile_imageresize_imagerotate_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
target path is:  ../data-firm/readfile_imageresize_imagerotate_output.csv
TCA done finally
Iteration: 74 (200 steps) - Average rewards across episodes: 48.91 | Moving average: 50.15
Iteration: 75 (200 steps) - Average rewards across episodes: 37.599 | Moving average: 49.033
Iteration: 76 (200 steps) - Average rewards across episodes: 37.24 | Moving average: 47.824
Iteration: 77 (200 steps) - Average rewards across episodes: 42.649 | Moving average: 47.038
Iteration: 78 (200 steps) - Average rewards across episodes: 39.231 | Moving average: 45.91
Iteration: 79 (200 steps) - Average rewards across episodes: 39.563 | Moving average: 44.769
Iteration: 80 (200 steps) - Average rewards across episodes: 40.046 | Moving average: 43.723
Iteration: 81 (200 steps) - Average rewards across episodes: 41.169 | Moving average: 42.737
Iteration: 82 (200 steps) - Average rewards across episodes: 44.051 | Moving average: 42.04
Iteration: 83 (200 steps) - Average rewards across episodes: 48.242 | Moving average: 41.87
Iteration: 84 (200 steps) - Average rewards across episodes: 44.531 | Moving average: 41.432
Iteration: 85 (200 steps) - Average rewards across episodes: 48.812 | Moving average: 42.554
Iteration: 86 (200 steps) - Average rewards across episodes: 46.647 | Moving average: 43.494
Iteration: 87 (200 steps) - Average rewards across episodes: 48.176 | Moving average: 44.047
Iteration: 88 (200 steps) - Average rewards across episodes: 46.68 | Moving average: 44.792
Iteration: 89 (200 steps) - Average rewards across episodes: 45.517 | Moving average: 45.387
Iteration: 90 (200 steps) - Average rewards across episodes: 42.523 | Moving average: 45.635
Iteration: 91 (200 steps) - Average rewards across episodes: 43.489 | Moving average: 45.867
Iteration: 92 (200 steps) - Average rewards across episodes: 41.232 | Moving average: 45.585
Iteration: 93 (200 steps) - Average rewards across episodes: 43.559 | Moving average: 45.117
Iteration: 94 (200 steps) - Average rewards across episodes: 42.539 | Moving average: 44.918
Iteration: 95 (200 steps) - Average rewards across episodes: 46.78 | Moving average: 44.714
Iteration: 96 (200 steps) - Average rewards across episodes: 48.319 | Moving average: 44.881
Iteration: 97 (200 steps) - Average rewards across episodes: 47.702 | Moving average: 44.834
Iteration: 98 (200 steps) - Average rewards across episodes: 43.568 | Moving average: 44.523
Iteration: 99 (200 steps) - Average rewards across episodes: 42.494 | Moving average: 44.221
