Data Path: ../data-firm/decompress_compress_decompress_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
target path is:  ../data-firm/decompress_compress_decompress_output.csv
TCA done finally
TCA applied. Target dataset updated.
Iteration: 74 (200 steps) - Average rewards across episodes: 33.987 | Moving average: 33.822
Iteration: 75 (200 steps) - Average rewards across episodes: 33.987 | Moving average: 33.862
Iteration: 76 (200 steps) - Average rewards across episodes: 33.987 | Moving average: 33.862
Iteration: 77 (200 steps) - Average rewards across episodes: 34.84 | Moving average: 33.904
Iteration: 78 (200 steps) - Average rewards across episodes: 33.561 | Moving average: 33.902
Iteration: 79 (200 steps) - Average rewards across episodes: 33.561 | Moving average: 33.902
Iteration: 80 (200 steps) - Average rewards across episodes: 33.561 | Moving average: 33.902
Iteration: 81 (200 steps) - Average rewards across episodes: 33.561 | Moving average: 33.902
Iteration: 82 (200 steps) - Average rewards across episodes: 33.987 | Moving average: 33.902
Iteration: 83 (200 steps) - Average rewards across episodes: 33.987 | Moving average: 33.902
Iteration: 84 (200 steps) - Average rewards across episodes: 33.561 | Moving average: 33.859
Iteration: 85 (200 steps) - Average rewards across episodes: 33.561 | Moving average: 33.817
Iteration: 86 (200 steps) - Average rewards across episodes: 33.561 | Moving average: 33.774
Iteration: 87 (200 steps) - Average rewards across episodes: 33.561 | Moving average: 33.646
Iteration: 88 (200 steps) - Average rewards across episodes: 33.561 | Moving average: 33.646
Iteration: 89 (200 steps) - Average rewards across episodes: 33.561 | Moving average: 33.646
Iteration: 90 (200 steps) - Average rewards across episodes: 33.987 | Moving average: 33.689
Iteration: 91 (200 steps) - Average rewards across episodes: 33.987 | Moving average: 33.731
Iteration: 92 (200 steps) - Average rewards across episodes: 33.561 | Moving average: 33.689
Iteration: 93 (200 steps) - Average rewards across episodes: 33.987 | Moving average: 33.689
Iteration: 94 (200 steps) - Average rewards across episodes: 33.561 | Moving average: 33.689
Iteration: 95 (200 steps) - Average rewards across episodes: 33.561 | Moving average: 33.689
Iteration: 96 (200 steps) - Average rewards across episodes: 33.561 | Moving average: 33.689
Iteration: 97 (200 steps) - Average rewards across episodes: 33.561 | Moving average: 33.689
Iteration: 98 (200 steps) - Average rewards across episodes: 33.987 | Moving average: 33.731
Iteration: 99 (200 steps) - Average rewards across episodes: 33.987 | Moving average: 33.774
