Data Path: ../data-firm/atarget.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
target path is:  ../data-firm/atarget.csv
TCA done finally
Iteration: 74 (200 steps) - Average rewards across episodes: 27.876 | Moving average: 27.796
Iteration: 75 (200 steps) - Average rewards across episodes: 27.461 | Moving average: 27.836
Iteration: 76 (200 steps) - Average rewards across episodes: 26.231 | Moving average: 27.672
Iteration: 77 (200 steps) - Average rewards across episodes: 27.477 | Moving average: 27.511
Iteration: 78 (200 steps) - Average rewards across episodes: 25.845 | Moving average: 27.431
Iteration: 79 (200 steps) - Average rewards across episodes: 27.891 | Moving average: 27.472
Iteration: 80 (200 steps) - Average rewards across episodes: 27.876 | Moving average: 27.39
Iteration: 81 (200 steps) - Average rewards across episodes: 29.094 | Moving average: 27.469
Iteration: 82 (200 steps) - Average rewards across episodes: 23.757 | Moving average: 27.057
Iteration: 83 (200 steps) - Average rewards across episodes: 26.231 | Moving average: 26.974
Iteration: 84 (200 steps) - Average rewards across episodes: 27.06 | Moving average: 26.892
Iteration: 85 (200 steps) - Average rewards across episodes: 26.259 | Moving average: 26.772
Iteration: 86 (200 steps) - Average rewards across episodes: 24.586 | Moving average: 26.607
Iteration: 87 (200 steps) - Average rewards across episodes: 24.534 | Moving average: 26.313
Iteration: 88 (200 steps) - Average rewards across episodes: 19.7 | Moving average: 25.699
Iteration: 89 (200 steps) - Average rewards across episodes: 19.29 | Moving average: 24.839
Iteration: 90 (200 steps) - Average rewards across episodes: 20.511 | Moving average: 24.102
Iteration: 91 (200 steps) - Average rewards across episodes: 18.605 | Moving average: 23.053
Iteration: 92 (200 steps) - Average rewards across episodes: 25.047 | Moving average: 23.182
Iteration: 93 (200 steps) - Average rewards across episodes: 24.202 | Moving average: 22.979
Iteration: 94 (200 steps) - Average rewards across episodes: 23.463 | Moving average: 22.62
Iteration: 95 (200 steps) - Average rewards across episodes: 23.064 | Moving average: 22.3
Iteration: 96 (200 steps) - Average rewards across episodes: 23.031 | Moving average: 22.145
Iteration: 97 (200 steps) - Average rewards across episodes: 25.837 | Moving average: 22.275
Iteration: 98 (200 steps) - Average rewards across episodes: 23.901 | Moving average: 22.695
Iteration: 99 (200 steps) - Average rewards across episodes: 25.103 | Moving average: 23.277
