Data Path: ../data-firm/imagecompress_sleep_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
Iteration: 74 (200 steps) - Average rewards across episodes: 39.703 | Moving average: 40.619IIteration: 75 (200 steps) - Average rewards across episodes: 41.16 | Moving average: 40.573IIteration: 76 (200 steps) - Average rewards across episodes: 40.682 | Moving average: 40.573IIteration: 77 (200 steps) - Average rewards across episodes: 40.682 | Moving average: 40.386IIteration: 78 (200 steps) - Average rewards across episodes: 40.205 | Moving average: 40.531IIteration: 79 (200 steps) - Average rewards across episodes: 41.625 | Moving average: 40.721IIteration: 80 (200 steps) - Average rewards across episodes: 41.16 | Moving average: 40.771
Iteration: 81 (200 steps) - Average rewards across episodes: 41.625 | Moving average: 40.914IIteration: 82 (200 steps) - Average rewards across episodes: 41.16 | Moving average: 40.867IIteration: 83 (200 steps) - Average rewards across episodes: 42.09 | Moving average: 41.009
Iteration: 84 (200 steps) - Average rewards across episodes: 41.147 | Moving average: 41.154
Iteration: 85 (200 steps) - Average rewards across episodes: 41.16 | Moving average: 41.154
Iteration: 86 (200 steps) - Average rewards across episodes: 41.625 | Moving average: 41.248
Iteration: 87 (200 steps) - Average rewards across episodes: 41.625 | Moving average: 41.342
Iteration: 88 (200 steps) - Average rewards across episodes: 41.16 | Moving average: 41.438
Iteration: 89 (200 steps) - Average rewards across episodes: 41.16 | Moving average: 41.391
Iteration: 90 (200 steps) - Average rewards across episodes: 41.625 | Moving average: 41.438
Iteration: 91 (200 steps) - Average rewards across episodes: 41.16 | Moving average: 41.391
Iteration: 92 (200 steps) - Average rewards across episodes: 41.16 | Moving average: 41.391
Iteration: 93 (200 steps) - Average rewards across episodes: 41.625 | Moving average: 41.345
Iteration: 94 (200 steps) - Average rewards across episodes: 41.16 | Moving average: 41.346
Iteration: 95 (200 steps) - Average rewards across episodes: 41.16 | Moving average: 41.346
Iteration: 96 (200 steps) - Average rewards across episodes: 41.147 | Moving average: 41.298
Iteration: 97 (200 steps) - Average rewards across episodes: 33.596 | Moving average: 40.495
Iteration: 98 (200 steps) - Average rewards across episodes: 27.077 | Moving average: 39.087
Iteration: 99 (200 steps) - Average rewards across episodes: 27.475 | Moving average: 37.718
