Data Path: ../data-firm/compress_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
Iteration: 75 (200 steps) - Average rewards across episodes: 35.695 | Moving average: 35.914
Iteration: 76 (200 steps) - Average rewards across episodes: 35.695 | Moving average: 35.87
Iteration: 77 (200 steps) - Average rewards across episodes: 36.132 | Moving average: 35.914
Iteration: 78 (200 steps) - Average rewards across episodes: 36.132 | Moving average: 35.914
Iteration: 79 (200 steps) - Average rewards across episodes: 36.132 | Moving average: 35.87
Iteration: 80 (200 steps) - Average rewards across episodes: 35.695 | Moving average: 35.826
Iteration: 81 (200 steps) - Average rewards across episodes: 35.695 | Moving average: 35.826
Iteration: 82 (200 steps) - Average rewards across episodes: 35.695 | Moving average: 35.826
Iteration: 83 (200 steps) - Average rewards across episodes: 35.695 | Moving average: 35.826
Iteration: 84 (200 steps) - Average rewards across episodes: 35.695 | Moving average: 35.826
Iteration: 85 (200 steps) - Average rewards across episodes: 35.695 | Moving average: 35.826
Iteration: 86 (200 steps) - Average rewards across episodes: 35.695 | Moving average: 35.826
Iteration: 87 (200 steps) - Average rewards across episodes: 35.695 | Moving average: 35.783
Iteration: 88 (200 steps) - Average rewards across episodes: 36.132 | Moving average: 35.783
Iteration: 89 (200 steps) - Average rewards across episodes: 36.132 | Moving average: 35.783
Iteration: 90 (200 steps) - Average rewards across episodes: 36.132 | Moving average: 35.826
Iteration: 91 (200 steps) - Average rewards across episodes: 35.695 | Moving average: 35.826
Iteration: 92 (200 steps) - Average rewards across episodes: 37.007 | Moving average: 35.958
Iteration: 93 (200 steps) - Average rewards across episodes: 36.132 | Moving average: 36.001
Iteration: 94 (200 steps) - Average rewards across episodes: 36.57 | Moving average: 36.089
Iteration: 95 (200 steps) - Average rewards across episodes: 36.132 | Moving average: 36.132
Iteration: 96 (200 steps) - Average rewards across episodes: 36.132 | Moving average: 36.176
Iteration: 97 (200 steps) - Average rewards across episodes: 35.695 | Moving average: 36.176
Iteration: 98 (200 steps) - Average rewards across episodes: 35.695 | Moving average: 36.132
Iteration: 99 (200 steps) - Average rewards across episodes: 36.132 | Moving average: 36.132
