Data Path: ../data-firm/decompress_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
Iteration: 75 (200 steps) - Average rewards across episodes: 38.399 | Moving average: 37.599
Iteration: 76 (200 steps) - Average rewards across episodes: 37.066 | Moving average: 37.555
Iteration: 77 (200 steps) - Average rewards across episodes: 37.066 | Moving average: 37.421
Iteration: 78 (200 steps) - Average rewards across episodes: 37.51 | Moving average: 37.466
Iteration: 79 (200 steps) - Average rewards across episodes: 37.51 | Moving average: 37.51
Iteration: 80 (200 steps) - Average rewards across episodes: 37.066 | Moving average: 37.421
Iteration: 81 (200 steps) - Average rewards across episodes: 37.066 | Moving average: 37.377
Iteration: 82 (200 steps) - Average rewards across episodes: 37.51 | Moving average: 37.377
Iteration: 83 (200 steps) - Average rewards across episodes: 37.954 | Moving average: 37.421
Iteration: 84 (200 steps) - Average rewards across episodes: 37.066 | Moving average: 37.421
Iteration: 85 (200 steps) - Average rewards across episodes: 37.066 | Moving average: 37.288
Iteration: 86 (200 steps) - Average rewards across episodes: 37.51 | Moving average: 37.333
Iteration: 87 (200 steps) - Average rewards across episodes: 37.51 | Moving average: 37.377
Iteration: 88 (200 steps) - Average rewards across episodes: 37.066 | Moving average: 37.333
Iteration: 89 (200 steps) - Average rewards across episodes: 37.51 | Moving average: 37.333
Iteration: 90 (200 steps) - Average rewards across episodes: 37.066 | Moving average: 37.333
Iteration: 91 (200 steps) - Average rewards across episodes: 37.51 | Moving average: 37.377
Iteration: 92 (200 steps) - Average rewards across episodes: 37.954 | Moving average: 37.421
Iteration: 93 (200 steps) - Average rewards across episodes: 37.066 | Moving average: 37.333
Iteration: 94 (200 steps) - Average rewards across episodes: 37.51 | Moving average: 37.377
Iteration: 95 (200 steps) - Average rewards across episodes: 37.51 | Moving average: 37.421
Iteration: 96 (200 steps) - Average rewards across episodes: 37.066 | Moving average: 37.377
Iteration: 97 (200 steps) - Average rewards across episodes: 37.51 | Moving average: 37.377
Iteration: 98 (200 steps) - Average rewards across episodes: 37.51 | Moving average: 37.421
Iteration: 99 (200 steps) - Average rewards across episodes: 37.066 | Moving average: 37.377
