Data Path: ../data-firm/writefile_writefile_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
Iteration: 75 (200 steps) - Average rewards across episodes: 20.8 | Moving average: 21.746
Iteration: 76 (200 steps) - Average rewards across episodes: 19.844 | Moving average: 21.438
Iteration: 77 (200 steps) - Average rewards across episodes: 21.072 | Moving average: 21.592
Iteration: 78 (200 steps) - Average rewards across episodes: 23.88 | Moving average: 21.89
Iteration: 79 (200 steps) - Average rewards across episodes: 24.491 | Moving average: 22.132
Iteration: 80 (200 steps) - Average rewards across episodes: 23.584 | Moving average: 22.06
Iteration: 81 (200 steps) - Average rewards across episodes: 22.442 | Moving average: 21.988
Iteration: 82 (200 steps) - Average rewards across episodes: 21.974 | Moving average: 21.818
Iteration: 83 (200 steps) - Average rewards across episodes: 22.378 | Moving average: 22.015
Iteration: 84 (200 steps) - Average rewards across episodes: 24.613 | Moving average: 22.508
Iteration: 85 (200 steps) - Average rewards across episodes: 23.808 | Moving average: 22.809
Iteration: 86 (200 steps) - Average rewards across episodes: 24.24 | Moving average: 23.248
Iteration: 87 (200 steps) - Average rewards across episodes: 23.452 | Moving average: 23.486
Iteration: 88 (200 steps) - Average rewards across episodes: 23.471 | Moving average: 23.445
Iteration: 89 (200 steps) - Average rewards across episodes: 22.752 | Moving average: 23.271
Iteration: 90 (200 steps) - Average rewards across episodes: 23.445 | Moving average: 23.257
Iteration: 91 (200 steps) - Average rewards across episodes: 23.379 | Moving average: 23.351
Iteration: 92 (200 steps) - Average rewards across episodes: 24.235 | Moving average: 23.577
Iteration: 93 (200 steps) - Average rewards across episodes: 23.492 | Moving average: 23.689
Iteration: 94 (200 steps) - Average rewards across episodes: 23.107 | Moving average: 23.538
Iteration: 95 (200 steps) - Average rewards across episodes: 23.827 | Moving average: 23.54
Iteration: 96 (200 steps) - Average rewards across episodes: 25.013 | Moving average: 23.617
Iteration: 97 (200 steps) - Average rewards across episodes: 24.214 | Moving average: 23.694
Iteration: 98 (200 steps) - Average rewards across episodes: 24.233 | Moving average: 23.77
Iteration: 99 (200 steps) - Average rewards across episodes: 24.235 | Moving average: 23.918
