Data Path: ../data-firm/readfile_imageresize_imagerotate_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
Iteration: 75 (200 steps) - Average rewards across episodes: 40.176 | Moving average: 40.208
Iteration: 76 (200 steps) - Average rewards across episodes: 40.706 | Moving average: 40.383
Iteration: 77 (200 steps) - Average rewards across episodes: 40.636 | Moving average: 40.383
Iteration: 78 (200 steps) - Average rewards across episodes: 40.636 | Moving average: 40.464
Iteration: 79 (200 steps) - Average rewards across episodes: 40.636 | Moving average: 40.51
Iteration: 80 (200 steps) - Average rewards across episodes: 40.636 | Moving average: 40.551
Iteration: 81 (200 steps) - Average rewards across episodes: 41.096 | Moving average: 40.643
Iteration: 82 (200 steps) - Average rewards across episodes: 40.636 | Moving average: 40.689
Iteration: 83 (200 steps) - Average rewards across episodes: 40.636 | Moving average: 40.643
Iteration: 84 (200 steps) - Average rewards across episodes: 40.636 | Moving average: 40.643
Iteration: 85 (200 steps) - Average rewards across episodes: 40.176 | Moving average: 40.643
Iteration: 86 (200 steps) - Average rewards across episodes: 40.636 | Moving average: 40.636
Iteration: 87 (200 steps) - Average rewards across episodes: 40.176 | Moving average: 40.59
Iteration: 88 (200 steps) - Average rewards across episodes: 40.176 | Moving average: 40.544
Iteration: 89 (200 steps) - Average rewards across episodes: 40.176 | Moving average: 40.498
Iteration: 90 (200 steps) - Average rewards across episodes: 40.636 | Moving average: 40.498
Iteration: 91 (200 steps) - Average rewards across episodes: 40.636 | Moving average: 40.452
Iteration: 92 (200 steps) - Average rewards across episodes: 40.176 | Moving average: 40.406
Iteration: 93 (200 steps) - Average rewards across episodes: 40.176 | Moving average: 40.36
Iteration: 94 (200 steps) - Average rewards across episodes: 40.176 | Moving average: 40.314
Iteration: 95 (200 steps) - Average rewards across episodes: 41.096 | Moving average: 40.406
Iteration: 96 (200 steps) - Average rewards across episodes: 40.636 | Moving average: 40.406
Iteration: 97 (200 steps) - Average rewards across episodes: 40.176 | Moving average: 40.406
Iteration: 98 (200 steps) - Average rewards across episodes: 40.636 | Moving average: 40.452
Iteration: 99 (200 steps) - Average rewards across episodes: 40.636 | Moving average: 40.498
